title,url,brand,main_image,description,gtin13,currency,price,product_details,information,primary_category,sub_category_1,sub_category_2,images,avg_rating,reviews_count,uniq_id,scraped_at
Always Anti Bunch Long Liner - 48 CT,https://www.albertsons.com/shop/product-details.970308292.html,Always,https://images.albertsons-media.com/is/image/ABS/970308292-ECOM?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Always Anti Bunch Long Liner - 48 CT,3077202267,USD,5.49,"Liners, Anti-Bunch, Xtra Protection, Long
                    

                        LeakGuard Core + barriers. Edge2Edge adhesive. Super soft cover. www.pg.com. how2recycle.info. www.always.com. Questions? 1-800-888-3115. Find Your Best Always Liners Fit: Bikini coverage. Daily freshness & comfort. Always No Feel Protection; Always Radiant. Brief Coverage. Extra protection. Always Anti-Bunch; Always 3in1. Assembled in Canada.","[{'Directions': '1. To use. 2. To dispose. Do not flush.'}, {'Directions': '1. To use. 2. To dispose. Do not flush.'}, {'About the Producer': 'Procter & Gamble'}]",Personal Care & Health,Feminine Care,Liners,"images.albertsons-media.com/is/image/ABS/970308292-ECOM, images.albertsons-media.com/is/image/ABS/970308292-C1N1, images.albertsons-media.com/is/image/ABS/970308292-A1C1, images.albertsons-media.com/is/image/ABS/970308292-L4, images.albertsons-media.com/is/image/ABS/970308292-A7N1",4.7,898,32d7321b-488e-5ba7-becd-41857e06c942,2022-11-24T13:48:00
Resers Relish Cranberry Orange - 12 Oz,https://www.albertsons.com/shop/product-details.960151538.html,Resers,https://images.albertsons-media.com/is/image/ABS/960151538-A1C1?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Resers Relish Cranberry Orange - 12 Oz,7111728002,USD,4.49,"Reser's Cranberry Orange Relish features whole cranberries with apple and a touch of orange peel. This unique topping is a perfect complement to any meat dish.

Use as a topping on turkey or roast
A delicious side dish or salad
Sweet and tangy
Keep refrigerated




                        Cranberry Orange Relish
                    

                        Reser's Cranberry Orange Relish features whole cranberries with apple and a touch of orange peel. This unique topping is a perfect complement to any meat dish.","[{'Directions': 'Keep refrigerated.'}, {'Directions': 'Keep refrigerated.'}, {'About the Producer': ""Reser's Fine Foods""}]",Deli,Deli Salads,Deli Salads,"images.albertsons-media.com/is/image/ABS/960151538-A1C1, images.albertsons-media.com/is/image/ABS/960151538-L2, images.albertsons-media.com/is/image/ABS/960151538-A7N1",0.0,0,34c6e9fe-174e-5c1a-a987-3e262846c051,2022-11-24T13:48:03
Mud Pie Bistro Cream And Sugar Set - Each,https://www.albertsons.com/shop/product-details.960483458.html,Miscellaneous,https://images.albertsons-media.com/is/image/ABS/960483458?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Mud Pie Bistro Cream And Sugar Set - Each,71854043201,USD,29.99,,[],"Paper, Cleaning & Home",Kitchen Accessories,Gadgets & Utensils,images.albertsons-media.com/is/image/ABS/960483458,0.0,0,82108519-5658-51e1-8786-73cee90667a3,2022-11-24T13:48:04
Maybelline Color Sensational The Cream Finish Warm Me Up Lipstick - 0.15 Oz,https://www.albertsons.com/shop/product-details.960205386.html,Maybelline,https://images.albertsons-media.com/is/image/ABS/960205386?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Maybelline Color Sensational The Cream Finish Warm Me Up Lipstick - 0.15 Oz,4155419859,USD,8.99,"Maybelline Color Sensational Lipstick is a rich, creamy lipstick formula with Shea Butter that leaves behind a sensuous feeling and creamy finish for smooth, supple lips, with no feathering or bleeding. Featuring pure color pigment, this lipstick is now available in a wide range of nude, pink, red, and plum shades that are rich, warm, and ultra-flattering. Apply your lipstick by starting in the center of your upper lip. Work from the center to the outer edges of your lip, following the contours of your mouth. Repeat the technique on your lower lip. Maybelline New York is the number 1 makeup brand for every look, style and skin tone. We combine technologically advanced formulations with on-trend expertise and New York City edge - diverse, on the pulse, inspired by the city and tested on its streets.

Color so crisp, lips so smooth
Hydrating lipstick with pure color pigments and infused with Shea Butter
Sensational lip color that glides on smooth
Available in ultra-flattering shades, from luscious nudes to head-turning reds
Now includes your favorite shades from the Vivids and Buffs collections




                        The Creams, Cream Finish Lipstick Makeup","[{'Directions': 'How to Apply Lipstick: Step 1. Apply lipstick in the center of your upper lip and follow the contours of your mouth. Step 2. Glide the lipstick across the entire bottom lip.'}, {'Directions': 'How to Apply Lipstick: Step 1. Apply lipstick in the center of your upper lip and follow the contours of your mouth. Step 2. Glide the lipstick across the entire bottom lip.'}, {'About the Producer': ""L'Oréal""}]",Personal Care & Health,Skin Care & Cosmetics,Cosmetics,images.albertsons-media.com/is/image/ABS/960205386,4.2,1366,93e6349a-5b8a-5235-bdce-7e96326c721c,2022-11-24T13:48:05
El Mexicano Creminieves Wafers Chocolate Pack - 7.5 Oz,https://www.albertsons.com/shop/product-details.960128315.html,Miscellaneous,https://images.albertsons-media.com/is/image/ABS/960128315?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,El Mexicano Creminieves Wafers Chocolate Pack - 7.5 Oz,4274330073,USD,1.29,,[],International Cuisine,Hispanic Foods,Hispanic Specialty,images.albertsons-media.com/is/image/ABS/960128315,0.0,0,2a1b5350-e15b-5171-a830-6027d4bdad96,2022-11-24T13:48:06
Kolorae Glitter Birthday Candle 7 - EA,https://www.albertsons.com/shop/product-details.970321212.html,Miscellaneous,https://images.albertsons-media.com/is/image/ABS/970321212?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Kolorae Glitter Birthday Candle 7 - EA,81970202421,USD,1.99,,[],"Paper, Cleaning & Home",Hardware & Home Needs,Miscellaneous Household,images.albertsons-media.com/is/image/ABS/970321212,0.0,0,3e65b238-6d43-5274-9e72-7b10329996af,2022-11-24T13:48:08
Brownwood Farms Sauce BBQ Cherry - 21 Oz,https://www.albertsons.com/shop/product-details.960226619.html,Brownwood Farms,https://images.albertsons-media.com/is/image/ABS/960226619-ECOM?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Brownwood Farms Sauce BBQ Cherry - 21 Oz,1830300506,USD,7.99,"BBQ Sauce, Cherry
                    

                        Simply delicious since 1945. GMO free sugar. Gluten free. Our products are crafted with the same level of pride and passion for freshness and quality that made a tiny little Northern Michigan roadside stand a must stop attraction for people over 70 years ago. brownwoodfarms.com. Spice up your next backyard barbeque with the sweet, tangy flavor of our amazing Cherry BBQ Sauce. As surprising as it is delicious, this award-winning, double-barrel sauce delivers both the sweet and the heat. Pure magic on the grill, fantastic in the oven, too. Pick it up and put it on your favorite meats, veggies, cheese or even french fries. Farmed with pride in Northern Michigan. 100% made, mixed & bottled in the USA.","[{'Product Attributes': 'Gluten Free'}, {'Product Attributes': 'Gluten Free'}, {'Warning': 'Contains: May contain pits.'}, {'Directions': 'Refrigerate after opening.'}, {'About the Producer': 'BROWNWOOD FARMS'}]","Condiments, Spice & Bake","Sauce, Marinades & Mixes",Barbecue Sauce,"images.albertsons-media.com/is/image/ABS/960226619-ECOM, images.albertsons-media.com/is/image/ABS/960226619-C1N1",0.0,0,9af14191-09a4-56af-8aa7-8ea0984ac181,2022-11-24T13:48:08
Claussen Premium Crisp Sauerkraut Jar - 32 Fl. Oz.,https://www.albertsons.com/shop/product-details.960043862.html,Claussen,https://images.albertsons-media.com/is/image/ABS/960043862-H1N1?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Claussen Premium Crisp Sauerkraut Jar - 32 Fl. Oz.,4470009215,USD,5.99,"With its classic tangy taste and satisfying crunch, Claussen Premium Crisp Sauerkraut enhances any meal. Claussen sauerkraut is made with fresh cabbage and packs a crisp, zesty and flavorful crunch. Our premium sauerkraut is the perfect topping for bratwurst, burgers and sausage. Add our crisp sauerkraut to your Reuben sandwich with corned beef, Swiss cheese and Russian dressing on rye bread. Claussen sauerkraut is vegan, Kosher Certified and a fat free food. Keep our 32-ounce resealable jar of sauerkraut refrigerated. 


One 32 fl oz jar of Claussen Premium Crisp Sauerkraut
Claussen Premium Crisp Sauerkraut is made with fresh cabbage
Packs a crisp, zesty and flavorful crunch
Perfect topping for bratwurst, burgers and sausage
Add our crisp sauerkraut to your Reuben sandwich




                        Premium Crisp Sauerkraut
                    

                        With its classic tangy taste and satisfying crunch, Claussen Premium Crisp Sauerkraut enhances any meal. Claussen sauerkraut is made with fresh cabbage and packs a crisp, zesty and flavorful crunch. Our premium sauerkraut is the perfect topping for bratwurst, burgers and sausage. Add our crisp sauerkraut to your Reuben sandwich with corned beef, Swiss cheese and Russian dressing on rye bread. Claussen sauerkraut is vegan, Kosher Certified and a fat free food. Keep our 32-ounce resealable jar of sauerkraut refrigerated.","[{'Directions': 'Always keep refrigerated.'}, {'Directions': 'Always keep refrigerated.'}, {'About the Producer': 'Kraft Heinz Foods Company'}]","Condiments, Spice & Bake","Pickles, Relish & Olives",Marinated Vegetables,"images.albertsons-media.com/is/image/ABS/960043862-H1N1, images.albertsons-media.com/is/image/ABS/960043862-U1N1, images.albertsons-media.com/is/image/ABS/960043862-R001",2.5,10,d06da13d-d2a9-584d-adc8-b80fbabd5822,2022-11-24T13:48:10
Kool-Aid Unsweetened Grape Artificially Flavored Powdered Drink Mix Packet - 0.14 Oz,https://www.albertsons.com/shop/product-details.120070114.html,Kool-Aid,https://images.albertsons-media.com/is/image/ABS/120070114?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Kool-Aid Unsweetened Grape Artificially Flavored Powdered Drink Mix Packet - 0.14 Oz,4300095563,USD,0.33,"Quench your thirst with the refreshing taste of Kool Aid Unsweetened Grape Artificially Flavored Powdered Drink Mix. Unsweetened powdered drink mix makes it easy to prepare a tasty purple grape drink. Our artificially flavored grape powdered drink mix is caffeine free, a good source of vitamin C and a great choice for the whole family. Each handy packet of unsweetened grape powder drink mix ensures that you always have a refreshing beverage ready to go. To prepare, empty the contents of our 0.14-ounce grape drink mix packet into a plastic or glass pitcher. Add 1 cup of sugar or your sweetener of choice. Then, just add ice and water and stir for a 2 quart supply of tasty grape Kool Aid.

One 0.14 oz packet of Kool Aid Unsweetened Grape Artificially Flavored Powdered Drink Mix
Every packet of artificially flavored grape Kool Aid drink mix makes a 2 quart pitcher
Our powder drink mix packet makes it easy to prepare a tasty beverage simply by mixing with water and sugar
Each powder drink package is bursting with refreshing grape flavor
Unsweetened Kool Aid grape drink mix is a good source of vitamin C and contains no caffeine




                        Unsweetened Grape Artificially Flavored Powdered Soft Drink Mix
                    

                        Quench your thirst with the refreshing taste of Kool Aid Unsweetened Grape Artificially Flavored Powdered Drink Mix. Unsweetened powdered drink mix makes it easy to prepare a tasty purple grape drink. Our artificially flavored grape powdered drink mix is caffeine free, a good source of vitamin C and a great choice for the whole family. Each handy packet of unsweetened grape powder drink mix ensures that you always have a refreshing beverage ready to go. To prepare, empty the contents of our 0.14-ounce grape drink mix packet into a plastic or glass pitcher. Add 1 cup of sugar or your sweetener of choice. Then, just add ice and water and stir for a 2 quart supply of tasty grape Kool Aid.","[{'Directions': 'Empty contents into large plastic or glass pitcher. Add 1 cup sugar or 1 cup SPLENDA® Sweetener, Granulated (more or less to taste). Add cold water and ice to make 2  quarts; stir to dissolve. Do not store in metal container.'}, {'Directions': 'Empty contents into large plastic or glass pitcher. Add 1 cup sugar or 1 cup SPLENDA® Sweetener, Granulated (more or less to taste). Add cold water and ice to make 2  quarts; stir to dissolve. Do not store in metal container.'}, {'About the Producer': 'Kraft Heinz Foods Company'}]",Beverages,Juice & Smoothies,Fruit Drink Mix,images.albertsons-media.com/is/image/ABS/120070114,4.9,19,8a09fccc-23f0-5322-9ced-c3b3b24e8f82,2022-11-24T13:48:10
Toasted Head Wine Red Merlot - 750 Ml,https://www.albertsons.com/shop/product-details.189060264.html,R.H. Phillips,https://images.albertsons-media.com/is/image/ABS/189060264?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Toasted Head Wine Red Merlot - 750 Ml,8711044057,USD,19.99,"Merlot, California
                    

                        The original environmentally-friendly box. Approximately three 5.6 oz glasses. One Bota Box mini. Awards & Accolades: 94 points - gold medal, California State Fair, cabernet sauvignon. Gold Medal: Critic's Challenge Wine Competition, Cabernet Sauvignon. Cabernet Sauvignon: Great wine doesn't need to cost the earth. We treat the planet with respect to bring you a delicious and environmentally conscious choice. Deep garnet in color, our smooth, rich Cabernet Sauvignon offers up enticing black cherry aromas and velvety blackberry and plum flavors. This full-bodied wine pairs nicely with barbequed tri-tip or pasta with a rich tomato sauce. Bota Box: Our new 500 ml package has a smaller carbon footprint than a 750 ml bottle: reduces greenhouse gases by 75% and waste by 50%; cuts fuel emissions due to its lighter shipping weight; produced mainly from paper which is a renewable resource. Alc 13.5% by vol. Bottled by Bota Box Vineyards Lathrop, CA, USA.","[{'Warning': 'Contains: Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.'}, {'Warning': 'Contains: Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.'}, {'About the Producer': 'R.H. Phillips Vineyard'}]","Wine, Beer & Spirits",Wine,Merlot,images.albertsons-media.com/is/image/ABS/189060264,0.0,0,988c04eb-81eb-5e26-85b1-f2c043b810c6,2022-11-24T13:48:12
Cr Gibson Tumbler Paw Prints - 1 EA,https://www.albertsons.com/shop/product-details.970308428.html,Miscellaneous,https://images.albertsons-media.com/is/image/ABS/970308428?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Cr Gibson Tumbler Paw Prints - 1 EA,929274075,USD,15.99,,[],"Paper, Cleaning & Home",Kitchen Accessories,Gadgets & Utensils,images.albertsons-media.com/is/image/ABS/970308428,0.0,0,dd54fd84-a42f-5d85-9630-04b327e7cdff,2022-11-24T13:48:12
Signature Select Oil Grapeseed - 16.9 Fl. Oz.,https://www.albertsons.com/shop/product-details.960533697.html,Signature SELECT,https://images.albertsons-media.com/is/image/ABS/960533697-ECOM?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Signature Select Oil Grapeseed - 16.9 Fl. Oz.,2113052041,USD,8.29,"Grapeseed Oil, Refined
                    

                        Quality guaranteed. 445 degrees F smoke point. 130 calories per 1 tbsp. See nutrition information for fat and saturated fat content. Non GMO Project verified. nongmoproject.org. Certified Gluten-Free. Our Signature is Our Promise: Signature Select is your assurance of great quality products at the best value everyday - from delicious frozen entrees and freshly baked French bread to home essentials. We wouldn't put our Signature on anything else. Quality and satisfaction guaranteed, or your money back. SmartLabel: Scan for more food information. www.betterlivingbrandsLLC.com. Product of Chile or Portugal.","[{'Product Attributes': 'Kosher,Gluten Free'}, {'Product Attributes': 'Kosher,Gluten Free'}, {'Warning': 'Contains: May Contain: tree nuts (almond coconut, hazelnut, pecan, pistachio, walnut), peanuts, soy, and milk. Oil will burn if overheated. If oil smokes, reduce heat.'}, {'About the Producer': 'BETTER LIVING BRANDS'}]","Condiments, Spice & Bake",Vinegar & Oil,Specialty Oil,"images.albertsons-media.com/is/image/ABS/960533697-ECOM, images.albertsons-media.com/is/image/ABS/960533697-C1N1, images.albertsons-media.com/is/image/ABS/960533697-A7N1",0.0,0,cd2f7121-8e94-56f6-aeff-97d878a65027,2022-11-24T13:48:12
Mud Pie Dot Gold Silver Wine Glass - EA,https://www.albertsons.com/shop/product-details.970005814.html,Miscellaneous,https://images.albertsons-media.com/is/image/ABS/970005814?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Mud Pie Dot Gold Silver Wine Glass - EA,71854056850,USD,41.99,,[],"Paper, Cleaning & Home",Kitchen Accessories,Gadgets & Utensils,images.albertsons-media.com/is/image/ABS/970005814,0.0,0,a8960367-467a-5145-b727-d2b18283e519,2022-11-24T13:48:14
Ferrari Carano Fume Blanc Sauvignon Blanc California White Wine - 750 Ml,https://www.albertsons.com/shop/product-details.189050559.html,Ferrari-Carano,https://images.albertsons-media.com/is/image/ABS/189050559?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,Ferrari Carano Fume Blanc Sauvignon Blanc California White Wine - 750 Ml,74265112310,USD,12.99,"Sauvignon Blanc, Sonoma County, 2020
                    

                        One of Ferrari-Carano’s signature wines, this sauvignon blanc perfectly marries hibiscus, ripe flavors of peach and pear with the crisp freshness of lemon, grapefruit and orange blossom. This wine has bright acidity and crisp freshness from cool stainless steel tank fermentation, while the subtle oak character from neutral French oak adds body, complexity and depth. www.ferrari-carano.com. Visit us www.ferrari-carano.com. Alc. 13.8% by vol. Produced and Bottled by Ferrari-Carano Winery, Healdsburg, CA.","[{'Warning': 'Contains: Contains sulfites.,Government Warning: (1) According to the surgeon general, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.'}, {'Warning': 'Contains: Contains sulfites.,Government Warning: (1) According to the surgeon general, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.'}, {'Directions': 'Serve chilled.'}, {'About the Producer': 'Ferrari-Carano Winery'}]","Wine, Beer & Spirits",Wine,Sauvignon & Fume Blanc,images.albertsons-media.com/is/image/ABS/189050559,0.0,0,2a14fb8e-2d33-5d40-b39e-a0e5fef68c70,2022-11-24T13:48:14
